step,sim_time,dt,advance_wall_time,reaction_wall_time,cumulative_wall_time
355,0.03182829295,0.0001408735223,0.246065284,0.148626702,87.861581254
356,0.03196916647,0.0001409147942,0.245878368,0.148107446,88.10745962200001
357,0.03211008126,0.0001409593604,0.245541471,0.148093888,88.353001093
358,0.03225104062,0.0001409719692,0.245699612,0.14836480400000002,88.598700705
359,0.03239201259,0.0001409847107,0.245662176,0.148368981,88.844362881
360,0.0325329973,0.0001409985107,0.245903821,0.148486859,89.090266702
361,0.03267399581,0.0001410136643,0.24524804,0.148593206,89.335514742
362,0.03281500948,0.0001410290714,0.245241704,0.148580337,89.580756446
363,0.03295603855,0.0001410450446,0.245525756,0.148459323,89.826282202
364,0.0330970836,0.0001410619885,0.245293132,0.147914113,90.071575334
